,ERXN-NUMBER,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
RXN-14971,"['ENZRXN-24875', 'ENZRXN-24874', 'ENZRXN-12464']",['EC-1.3.5.1'],"['ETR-Quinones', 'SUC']","['ETR-Quinols', 'FUM']",-5.042251599999999
MALATE-DEH-RXN,"['MALATE-DEH-ENZRXN', 'ENZRXN-22204', 'ENZRXN66-19644', 'ENZRXN-20872', 'ENZRXN-20416', 'ENZRXN-20427', 'ENZRXN-20428', 'ENZRXN-20429', 'ENZRXN-20411', 'ENZRXNQT-9430', 'ENZRXNQT-7084', 'ENZRXNQT-7074', 'ENZRXN66-1241', 'ENZRXN-13938', 'ENZRXN-13890', 'ENZRXN-12466', 'ENZRXN-12429', 'ENZRXN-12360', 'ENZRXN-4305']",['EC-1.1.1.37'],"['MAL', 'NAD']","['OXALACETIC_ACID', 'NADH', 'PROTON']",4.4617615
ISOCITDEH-RXN,"['ISOCITDEH-ENZRXN', 'ENZRXN3O-1406', 'ENZRXN-12349', 'ENZRXN-18770', 'ENZRXNQT-4512', 'ENZRXN66-685', 'ENZRXN66-1983', 'ENZRXN-14010', 'ENZRXN-12463', 'ENZRXN-1167']",['EC-1.1.1.42'],"['THREO-DS-ISO-CITRATE', 'NADP']","['2-KETOGLUTARATE', 'CARBON-DIOXIDE', 'NADPH']",0.3758545
MALATE-DEHYDROGENASE-ACCEPTOR-RXN,['ENZRXN0-282'],['EC-1.1.5.4'],"['ETR-Quinones', 'MAL']","['ETR-Quinols', 'OXALACETIC_ACID']",-14.942260000000001
ACONITATEDEHYDR-RXN,"['ACONITATEDEHYDR-ENZRXN', 'ACONITATEDEHYDRB-ENZRXN', 'ENZRXN3O-1388', 'ENZRXN66-4448', 'ENZRXN66-2552', 'ENZRXNQT-5978', 'ENZRXN-14530', 'ENZRXN-14514', 'ENZRXN-14513', 'ENZRXN-12461', 'ENZRXN-12355']",[],['CIT'],"['CIS-ACONITATE', 'WATER']",3.3529968
CITSYN-RXN,"['CITSYN-ENZRXN', 'ENZRXN0-7594', 'ENZRXN3O-1609', 'ENZRXN-21636', 'ENZRXN-18771', 'ENZRXN-18103', 'ENZRXN-18102', 'ENZRXN-14529', 'ENZRXN66-1817', 'ENZRXN-12460', 'ENZRXN-1166']","['EC-2.3.3.16', 'EC-2.3.3.1']","['ACETYL-COA', 'WATER', 'OXALACETIC_ACID']","['CIT', 'CO-A', 'PROTON']",-10.515259
ACONITATEHYDR-RXN,"['ACONITATEHYDR-ENZRXN', 'ACONITATEHYDRB-ENZRXN', 'ENZRXN3O-3156', 'ENZRXN66-3721', 'ENZRXN66-3843', 'ENZRXNT9-2104', 'ENZRXN-12462', 'ENZRXN-12353']",[],"['CIS-ACONITATE', 'WATER']",['THREO-DS-ISO-CITRATE'],-3.1329956
2OXOGLUTARATEDEH-RXN,"['2OXOGLUTARATEDEH-ENZRXN', 'ENZRXN-23162', 'ENZRXN490-825']",['EC-1.2.1.M9'],"['2-KETOGLUTARATE', 'CO-A', 'NAD']","['SUC-COA', 'CARBON-DIOXIDE', 'NADH']",-11.366394
SUCCCOASYN-RXN,"['SUCCCOASYN-ENZRXN', 'ENZRXN-22640', 'ENZRXN-22263', 'ENZRXN-20264', 'ENZRXN66-1902', 'ENZRXN-14175', 'ENZRXN-14167', 'ENZRXN-13820', 'ENZRXN-12435', 'ENZRXN-12362']",['EC-6.2.1.5'],"['SUC', 'CO-A', 'ATP']","['SUC-COA', 'ADP', 'Pi']",-1.0540771
FUMHYDR-RXN,"['FUMARC-ENZRXN', 'ENZRXN0-8343', 'ENZRXN0-8344', 'FUMARB-ENZRXN', 'FUMARA-ENZRXN', 'ENZRXN-22210', 'ENZRXN-19891', 'ENZRXN-17847', 'ENZRXN66-549', 'ENZRXN-12465', 'ENZRXN-12430', 'ENZRXN-12352', 'ENZRXNI-1442']",['EC-4.2.1.2'],['MAL'],"['FUM', 'WATER']",0.6130066
